KERNEL;PSNR;EXE_TIME;PSNR/EXE_TIME;NOISE_TIME
1;13.527965048909945;0.01358485221862793;995.812;1.6698966026306152
2;16.37085548550177;0.025419950485229492;644.016;2.973116397857666
3;18.009745538852833;0.02900528907775879;620.912;4.391448497772217
4;19.146430885738045;0.041295766830444336;463.641;5.860626935958862
5;19.979397036632594;0.04634666442871094;431.086;7.311105728149414
6;20.665950058455657;0.05936026573181152;348.145;8.78174614906311
7;21.215619143589763;0.06261706352233887;338.815;10.23663878440857
8;21.689663708483945;0.06928205490112305;313.063;11.899719715118408
9;22.092270517498566;0.0796363353729248;277.414;13.150481939315796
10;22.43276657736848;0.09464669227600098;237.016;14.805917978286743
11;22.753222037635673;0.09693765640258789;234.72;16.087314128875732
12;22.997189707492662;0.11022353172302246;208.641;17.56333327293396
13;23.284629769401196;0.11452126502990723;203.321;19.022950410842896
14;23.506669024186593;0.1273784637451172;184.542;20.46449303627014
15;23.695370221750125;0.13087987899780273;181.047;21.949694633483887
16;23.886397977378685;0.13163352012634277;181.461;23.41553783416748
17;24.070317962364193;0.14761829376220703;163.058;24.878096342086792
18;24.216668061118803;0.16150307655334473;149.946;26.30926537513733
19;24.3614232570502;0.16579723358154297;146.935;27.794720888137817
20;24.49626042862878;0.17803668975830078;137.591;29.277162551879883
21;24.642228745950447;0.18274283409118652;134.846;30.711172819137573
22;24.75313604885732;0.19645309448242188;126.0;32.21331334114075
23;24.85571651316505;0.20086312294006348;123.745;33.66417145729065
24;24.958388922701612;0.21440529823303223;116.408;35.103739976882935
25;25.07015150117202;0.21667003631591797;115.707;36.61107516288757
26;25.15938490834143;0.23155546188354492;108.654;38.0412232875824
27;25.251823567312563;0.2351224422454834;107.399;39.48727202415466
28;25.33282985330302;0.24739933013916016;102.397;40.978190422058105
29;25.400430269738838;0.25121521949768066;101.11;42.411842584609985
30;25.48441875523659;0.26506853103637695;96.143;43.851728200912476
31;25.547229342576596;0.2672595977783203;95.59;45.36882495880127
32;25.625370848763417;0.25574254989624023;100.2;46.83700466156006
33;25.70362138889127;0.2857785224914551;89.942;48.27644920349121
34;25.756343115630234;0.2987711429595947;86.208;49.76334524154663
35;25.822007875654002;0.30132055282592773;85.696;51.23413157463074
36;25.865997961629986;0.31724023818969727;81.534;52.66082811355591
37;25.92247254413857;0.32001233100891113;81.005;54.13637828826904
38;25.99253264126986;0.3316659927368164;78.37;55.612969160079956
39;26.035727072350987;0.3354334831237793;77.618;57.05886507034302
40;26.083919066290953;0.35146546363830566;74.215;58.55809497833252
41;26.1292624017131;0.3546738624572754;73.671;60.0238983631134
42;26.170400145941507;0.3676266670227051;71.187;61.43704843521118
43;26.214203885115317;0.3707084655761719;70.714;62.92068576812744
44;26.254770967276396;0.38672590255737305;67.89;64.37354111671448
45;26.30208799299213;0.38770461082458496;67.841;65.8202154636383
46;26.333164174561862;0.3997342586517334;65.877;67.35340428352356
47;26.37834138710582;0.40235185623168945;65.56;68.79372072219849
48;26.417541797934238;0.4178431034088135;63.224;70.25888085365295
49;26.448707665615864;0.42003655433654785;62.968;71.75379014015198
50;26.474360545157403;0.4341466426849365;60.98;73.18985795974731
51;26.524590353750458;0.43631625175476074;60.792;74.6197555065155
52;26.540131351543867;0.4514894485473633;58.784;76.07151794433594
53;26.577718227921572;0.4544498920440674;58.483;77.55774450302124
54;26.604137877906346;0.47129106521606445;56.449;79.0092830657959
55;26.636160820784085;0.4734652042388916;56.258;80.57572078704834
56;26.663271840319943;0.48752474784851074;54.691;82.02798700332642
57;26.694693079092833;0.4918527603149414;54.274;83.55050015449524
58;26.712917046812432;0.5029242038726807;53.115;84.83028650283813
59;26.74181398755239;0.5060272216796875;52.847;86.32594203948975
60;26.766472016450685;0.5232765674591064;51.152;87.76946210861206
61;26.792917908321222;0.5270965099334717;50.831;89.37613844871521
62;26.813586817612265;0.5388233661651611;49.763;90.6875467300415
63;26.82959468956315;0.5409848690032959;49.594;92.10076904296875
64;26.867072652855395;0.5025677680969238;53.46;93.8065984249115
65;26.880904823932998;0.558502197265625;48.13;94.97427725791931
66;26.896662420364578;0.5722174644470215;47.004;96.46300959587097
67;26.913744345842865;0.5728530883789062;46.982;98.01522731781006
68;26.9531416284983;0.5919394493103027;45.534;99.46260714530945
