KERNEL;PSNR;EXE_TIME;PSNR/TIME;NOISE_TIME
1;21.904099523609965;0.026610612869262695;823.134;0.6352527141571045
2;24.96507372815671;0.015231609344482422;1639.031;1.2677278518676758
3;26.651357693827634;0.017240524291992188;1545.855;1.8969683647155762
4;27.881891044097877;0.02166604995727539;1286.893;2.527785539627075
5;28.864954566744153;0.026463985443115234;1090.726;3.2080819606781006
6;29.638003377357993;0.032883644104003906;901.299;3.868046998977661
7;30.24643377950437;0.03625226020812988;834.332;4.483032464981079
8;30.818747364240124;0.047406911849975586;650.09;5.924352645874023
9;31.287745224262203;0.0492246150970459;635.612;6.137970924377441
10;31.74364008365339;0.052085161209106445;609.457;6.807924747467041
11;32.101858107101094;0.05682206153869629;564.954;7.29478120803833
12;32.467983736909986;0.05873751640319824;552.764;7.74824333190918
13;32.79912123126917;0.06482100486755371;505.995;8.323625564575195
14;33.10993949390292;0.07001352310180664;472.908;8.950028419494629
15;33.37115078645971;0.0749521255493164;445.233;9.669216632843018
16;33.662245788080504;0.07752323150634766;434.221;10.236880779266357
17;33.86068904248614;0.08371424674987793;404.479;10.922350645065308
18;34.08070687700415;0.08795714378356934;387.469;11.558842897415161
19;34.325395874682975;0.09725308418273926;352.949;12.53284478187561
20;34.473219267071336;0.12091708183288574;285.098;13.435250282287598
21;34.6870467619164;0.10995221138000488;315.474;13.809524536132812
22;34.88381836895157;0.10757708549499512;324.268;14.211099863052368
23;35.037759270525804;0.11213922500610352;312.449;14.824007272720337
24;35.22138943281962;0.11866116523742676;296.823;15.461371421813965
25;35.33451823464795;0.12253808975219727;288.355;16.053919315338135
26;35.483453097514605;0.12454962730407715;284.894;16.659322023391724
27;35.66380758294976;0.13210463523864746;269.966;17.448530435562134
28;35.7814104554019;0.14155054092407227;252.782;18.69507384300232
29;35.873445684454516;0.15435242652893066;232.413;19.808141946792603
30;36.00335843845787;0.15530681610107422;231.821;20.329907178878784
31;36.146995535133875;0.15841126441955566;228.185;20.81729221343994
32;36.334948250899245;0.17611908912658691;206.309;21.96812915802002
33;36.37422877031512;0.17382121086120605;209.262;22.514374494552612
34;36.43192186243456;0.16530394554138184;220.394;21.752251625061035
35;36.57793082480463;0.1693887710571289;215.941;22.411140203475952
36;36.698825177492154;0.17443609237670898;210.386;23.071588277816772
37;36.829537712800956;0.18117618560791016;203.28;23.755512475967407
38;36.899455143104426;0.18261456489562988;202.062;24.32659077644348
39;36.938589204231164;0.18830299377441406;196.166;24.98963212966919
40;37.00804833920652;0.19302678108215332;191.725;25.656664609909058
41;37.07722418958711;0.20017600059509277;185.223;26.325563192367554
42;37.252121853513145;0.20317745208740234;183.348;27.049606800079346
43;37.34781788484601;0.20900464057922363;178.694;27.590357542037964
44;37.449903621814926;0.21361732482910156;175.313;28.2309148311615
45;37.51141152652672;0.22252178192138672;168.574;29.083153009414673
46;37.54468855172006;0.22541069984436035;166.561;29.48009729385376
47;37.6254063226696;0.22617840766906738;166.353;30.13945460319519
48;37.694802436760746;0.24057459831237793;156.687;31.67580246925354
49;37.70241791677444;0.2519361972808838;149.651;33.40877056121826
50;37.74545433447031;0.25241804122924805;149.535;33.05311894416809
51;37.783345883258086;0.258638858795166;146.085;33.02223753929138
52;37.907313913209876;0.25600337982177734;148.073;33.58496356010437
53;38.0202207323039;0.2655520439147949;143.174;34.301527976989746
54;38.11491583667199;0.26864123344421387;141.88;35.011112213134766
55;38.22363931089039;0.27599406242370605;138.494;35.636723041534424
56;38.28416168702331;0.2852816581726074;134.198;36.219146966934204
57;38.309660027573045;0.28346943855285645;135.146;36.746110916137695
58;38.35690420841153;0.2892942428588867;132.588;37.5777108669281
59;38.36473417558982;0.29348278045654297;130.722;38.17374062538147
60;38.4541169883247;0.2986156940460205;128.775;38.77809524536133
61;38.498510226859686;0.30365729331970215;126.783;39.47209882736206
62;38.537610175591716;0.3089559078216553;124.735;40.067545890808105
63;38.58298062284106;0.31679844856262207;121.79;40.73788499832153
64;38.660561256590626;0.3164937496185303;122.153;41.51425743103027
65;38.62432049589351;0.3246438503265381;118.974;42.18354392051697
66;38.66413602831002;0.3268928527832031;118.278;42.726877212524414
67;38.67840992236881;0.3387141227722168;114.192;43.367857933044434
68;38.71510033797937;0.33644795417785645;115.07;44.03949427604675
69;38.77923161601202;0.34406089782714844;112.71;44.69625425338745
70;38.8776306501917;0.3442251682281494;112.942;45.21372747421265
71;38.933343882920674;0.34876537322998047;111.632;45.9377658367157
72;39.01294353506864;0.3551952838897705;109.835;46.57233762741089
