KERNEL;PSNR;EXE_TIME;PSNR/EXE_TIME;NOISE_TIME
1;18.97066067066109;0.014987945556640625;1265.728;1.6204841136932373
2;21.939503790141526;0.020823001861572266;1053.619;2.935422658920288
3;23.587353076042838;0.028911113739013672;815.858;4.3627588748931885
4;24.854090146022436;0.03814411163330078;651.584;5.815195798873901
5;25.779768918663322;0.04589438438415527;561.719;7.265727758407593
6;26.511272082931715;0.06054377555847168;437.886;8.726563692092896
7;27.147903631097957;0.06275606155395508;432.594;10.18423581123352
8;27.69124688439127;0.06944656372070312;398.742;11.631606578826904
9;28.182395116479526;0.08021950721740723;351.316;13.093092679977417
10;28.60796741397186;0.09343934059143066;306.166;14.535045623779297
11;28.979129277814515;0.09834814071655273;294.659;15.997365951538086
12;29.28075651275344;0.11079668998718262;264.275;17.447506427764893
13;29.59569975954711;0.11429047584533691;258.952;18.915067434310913
14;29.89278515717112;0.12893939018249512;231.836;20.386311531066895
15;30.161402867008192;0.13112378120422363;230.022;21.829493522644043
16;30.40436406538298;0.13138127326965332;231.421;23.272507667541504
17;30.617954296787268;0.14951562881469727;204.781;24.726264238357544
18;30.811396861394577;0.16164374351501465;190.613;26.175504684448242
19;31.043869825554996;0.1662144660949707;186.77;27.61467957496643
20;31.231726492444444;0.17915129661560059;174.332;29.1080424785614
21;31.40832395475989;0.18299531936645508;171.635;30.526406049728394
22;31.554738133658628;0.1956615447998047;161.272;32.01607155799866
23;31.68144358016808;0.20037317276000977;158.112;33.458654165267944
24;31.845633612359574;0.21276569366455078;149.675;34.948957443237305
25;32.010264394819;0.21720266342163086;147.375;36.389065742492676
26;32.138048429422774;0.23108506202697754;139.075;37.83412766456604
27;32.28273445310628;0.2334613800048828;138.279;39.26008129119873
28;32.4118422760517;0.24814510345458984;130.616;40.71108388900757
29;32.484537024943606;0.250995397567749;129.423;42.13224267959595
30;32.61682905075644;0.2638223171234131;123.632;43.66105842590332
31;32.73055895073575;0.2684791088104248;121.911;45.07688093185425
32;32.853765104275745;0.2546877861022949;128.996;46.562023401260376
33;32.918079375601785;0.2852010726928711;115.421;47.997408628463745
34;33.00257827161863;0.2992126941680908;110.298;49.47579550743103
35;33.1193077235655;0.3006870746612549;110.145;50.90344190597534
36;33.20492173670816;0.3154482841491699;105.263;52.39954948425293
37;33.31856946934379;0.31871604919433594;104.54;53.82840347290039
38;33.4103421767211;0.333660364151001;100.133;55.27289795875549
39;33.4636494169215;0.3361828327178955;99.54;56.75064444541931
40;33.53247930398847;0.3494391441345215;95.961;58.20580554008484
41;33.60260549195213;0.35150623321533203;95.596;59.614384174346924
42;33.711040772777636;0.36800646781921387;91.604;61.11075258255005
43;33.78502643600318;0.3707752227783203;91.12;62.549386501312256
44;33.85855423943311;0.38477563858032227;87.996;64.19966983795166
45;33.931807876283045;0.3869659900665283;87.687;65.48737382888794
46;33.98209976872883;0.40205812454223633;84.52;67.11520528793335
47;34.058046630050086;0.4056892395019531;83.951;68.54039525985718
48;34.10425058426272;0.4195394515991211;81.29;70.0627269744873
49;34.14594698423076;0.4212028980255127;81.068;71.29428744316101
50;34.186640746750534;0.43586254119873047;78.434;72.72789859771729
51;34.24854437903457;0.43835949897766113;78.129;74.12190222740173
52;34.32406721894611;0.45519328117370605;75.405;75.65266704559326
53;34.39132280779484;0.45516276359558105;75.558;77.0304753780365
54;34.46659719902293;0.47080445289611816;73.208;78.52440476417542
55;34.509731112420354;0.47424983978271484;72.767;80.0096001625061
56;34.570557147173645;0.48773908615112305;70.879;81.4484453201294
57;34.629156301977034;0.4890580177307129;70.808;83.10414123535156
58;34.6548727497428;0.5049285888671875;68.633;84.32167792320251
59;34.6989659674643;0.5055689811706543;68.633;85.75590658187866
60;34.74335415940237;0.5201833248138428;66.791;87.23058891296387
61;34.80271255338013;0.5207111835479736;66.837;88.7289834022522
