KERNEL;PSNR;EXE_TIME;PSNR/EXE_TIME;NOISE_TIME
1;11.96044400363563;0.0046825408935546875;2554.264;1.52420973777771
2;17.005777077505236;0.0035855770111083984;4742.829;1.414017915725708
3;19.334108839076745;0.001809835433959961;10682.799;1.3594582080841064
4;20.101272469311603;0.0035855770111083984;5606.147;1.3572311401367188
5;20.527149850508874;0.002229452133178711;9207.262;1.3614134788513184
6;20.652225337321845;0.003577709197998047;5772.472;1.3564300537109375
7;20.734619003350325;0.003610849380493164;5742.311;1.364987850189209
8;20.719344307804537;0.003325939178466797;6229.622;1.3529984951019287
