KERNEL;PSNR;EXE_TIME;PSNR/EXE_TIME;NOISE_TIME
1;14.955104369827897;0.013520479202270508;1106.108;1.6345219612121582
2;17.87407053931956;0.0254666805267334;701.861;2.964164972305298
3;19.541931915284252;0.028872966766357422;676.825;4.384810447692871
4;20.712194595868656;0.0381472110748291;542.954;5.835186719894409
5;21.583618651338988;0.045990705490112305;469.304;7.306658506393433
6;22.289738007688605;0.05934786796569824;375.578;8.76034665107727
7;22.874057441335243;0.06587719917297363;347.223;10.2573561668396
8;23.361525273190082;0.06878542900085449;339.629;11.69883942604065
9;23.80594258574944;0.0810997486114502;293.539;13.347150087356567
10;24.167284645325637;0.09342336654663086;258.686;14.577168464660645
11;24.49943798941841;0.09990715980529785;245.222;16.02795100212097
12;24.80801120051419;0.1106562614440918;224.19;17.483917951583862
13;25.080844924547957;0.11465787887573242;218.745;18.977940559387207
14;25.303535689554458;0.1307222843170166;193.567;20.454581022262573
15;25.54338478629768;0.1304795742034912;195.765;21.88142156600952
16;25.748573929529776;0.13022470474243164;197.724;23.551835775375366
17;25.936708923508796;0.14832162857055664;174.868;24.788860082626343
18;26.121093560783;0.1607527732849121;162.492;26.279890298843384
19;26.283873612288865;0.16528868675231934;159.018;27.742887020111084
20;26.42732794262153;0.17771005630493164;148.71;29.213152408599854
21;26.587375461556192;0.1823890209197998;145.773;30.64932894706726
22;26.721386850158044;0.19453716278076172;137.359;32.10271644592285
23;26.837317449645703;0.19919252395629883;134.731;33.57913303375244
24;26.956528826670482;0.21131372451782227;127.566;35.04846811294556
25;27.060263161685935;0.2159419059753418;125.313;36.528332233428955
26;27.178077814858604;0.22897076606750488;118.697;37.95338320732117
27;27.2874358387227;0.23196148872375488;117.638;39.346640825271606
28;27.369685204802245;0.24668049812316895;110.952;40.827542304992676
29;27.464542924892847;0.25025081634521484;109.748;42.33050346374512
30;27.550634839141317;0.2620506286621094;105.135;43.78876233100891
31;27.63684989523589;0.2665102481842041;103.699;45.263407468795776
32;27.720625091307667;0.2550511360168457;108.687;46.81538152694702
33;27.806461607345835;0.2839851379394531;97.915;48.22809147834778
34;27.868503176045238;0.2966327667236328;93.95;49.56047034263611
35;27.93099177663855;0.2998049259185791;93.164;51.29859685897827
36;27.998079946611863;0.31424808502197266;89.095;52.60794544219971
37;28.09409008956425;0.3180503845214844;88.332;54.02586555480957
38;28.138619000766884;0.33094072341918945;85.026;55.506519079208374
39;28.199001744267527;0.3345820903778076;84.281;56.96734142303467
40;28.252863821210713;0.34963226318359375;80.807;58.37665891647339
41;28.302194916539015;0.353740930557251;80.008;59.87611269950867
42;28.35286366487708;0.36688733100891113;77.279;61.276323318481445
43;28.42940105569341;0.3690457344055176;77.035;62.80389356613159
44;28.456371263761785;0.3826773166656494;74.361;64.23906946182251
45;28.526308935760902;0.38657546043395996;73.792;65.770427942276
46;28.552407069711595;0.3976867198944092;71.796;67.19415736198425
47;28.604241744500424;0.4019773006439209;71.159;68.68671870231628
48;28.654232661947322;0.4177241325378418;68.596;70.09600329399109
49;28.688032876378973;0.42177343368530273;68.018;71.5534737110138
50;28.729513921182388;0.4350619316101074;66.035;72.9968798160553
51;28.766020421311183;0.43839430809020996;65.617;74.43487977981567
52;28.796977332679358;0.45088648796081543;63.867;75.92324590682983
53;28.848715546860944;0.45410919189453125;63.528;77.3753354549408
54;28.871926399053393;0.4674551486968994;61.764;78.99105477333069
55;28.92492681974545;0.47090864181518555;61.424;80.44376993179321
56;28.9427854175193;0.4834897518157959;59.862;81.69282293319702
57;28.973396589592944;0.48827266693115234;59.339;83.40822529792786
58;29.013704401548846;0.5012767314910889;57.88;84.61972761154175
59;29.0466577122245;0.5050315856933594;57.515;86.29863405227661
60;29.07830877605548;0.520214319229126;55.897;87.54112577438354
61;29.106842135187378;0.5235800743103027;55.592;89.04175853729248
62;29.132648723390705;0.5365784168243408;54.293;90.49225997924805
63;29.167915763269164;0.5392272472381592;54.092;92.15246486663818
64;29.203951916094045;0.5013613700866699;58.249;93.61437726020813
65;29.231234477747158;0.5565483570098877;52.522;95.08454895019531
66;29.25763704464388;0.5702862739562988;51.303;96.45344281196594
67;29.264938367070993;0.5750949382781982;50.887;97.83062982559204
68;29.29284483537101;0.5892422199249268;49.713;99.30098485946655
69;29.329767831384057;0.5934996604919434;49.418;100.6816623210907
