KERNEL;PSNR;EXE_TIME;PSNR/EXE_TIME;NOISE_TIME
1;11.97516592093086;0.0007848739624023438;15257.438;1.5217711925506592
3;18.91001788445642;0.0007424354553222656;25470.252;1.4249317646026611
5;20.185277284498135;0.0010356903076171875;19489.684;1.3726909160614014
7;20.8094263928836;0.0017421245574951172;11944.856;1.3723647594451904
9;20.989574211768463;0.0023491382598876953;8935.01;1.3871910572052002
11;21.01548552661153;0.002969026565551758;7078.241;1.3840405941009521
13;21.02373757046232;0.003278970718383789;6411.688;1.3858978748321533
15;20.95698107344774;0.003636598587036133;5762.797;1.374117374420166
